38,0,1,1,3,1,3,3
0,34,6,2,0,1,0,7
2,3,31,0,0,3,2,9
1,2,1,33,3,3,3,4
0,3,4,10,20,9,2,2
1,1,5,1,1,36,2,3
3,1,3,0,2,8,30,3
2,3,10,0,0,3,0,32
